281613-281638	129716	1474783496-1474821241
281639-281640	109326	1474875967-1474879028
281641-281692	218750	1474882527-1474889917
281693-281706	1937196	1474909074-1474960125
281707-281725	1066052	1474969741-1474992245
281726-281726	251054	1474992931-1474999632
281727-281796	1029786	1474999856-1475037247
281797-281974	1972908	1475064371-1475112176
281975-281975	258178	1475205846-1475210835
281976-282032	1615070	1475210936-1475261428
282033-282036	125354	1475271116-1475273959
282037-282091	1550462	1475274307-1475317712
282092-282707	702199	1475416265-1475467142
282708-282730	108399	1476002424-1476018737
282731-282731	127052	1476018892-1476022899
282732-282733	160162	1476023049-1476028904
282734-282734	185105	1476029044-1476036661
282735-282799	712634	1476036813-1476079309
282800-282806	244755	1476109088-1476117857
282807-282813	182196	1476118137-1476125714
282814-282841	720851	1476125991-1476168954
282842-282917	107109	1476182094-1476237425
282918-282921	180625	1476237675-1476244734
282922-283041	169895	1476249026-1476257530
283042-283048	299828	1476311992-1476324408
283049-283051	153026	1476335203-1476340584
283052-283269	315934	1476341173-1476356213
283270-283282	932578	1476470471-1476513241
283283-283304	494401	1476513488-1476554136
283305-283306	190657	1476567760-1476574794
283307-283307	241473	1476575077-1476585687
283308-283352	390215	1476586039-1476608138
283353-283357	456707	1476647807-1476665075
283358-283358	414250	1476665473-1476688319
283359-283406	148113	1476688572-1476698526
283407-283415	1109362	1476741417-1476801541
283416-283477	340832	1476803823-1476828329
283478-283547	491682	1476850489-1476871278
283548-283680	116473	1476917974-1477021805
283681-283684	210899	1477022221-1477031904
283685-283829	719782	1477032032-1477117478
283830-283833	263532	1477117698-1477134514
283834-283875	711335	1477134742-1477184899
283876-283876	404441	1477193994-1477209357
283877-283883	612367	1477209646-1477244496
283884-283884	246299	1477266319-1477275794
283885-283932	717867	1477275984-1477316148
283933-283933	100934	1477334032-1477337382
283934-283945	657809	1477337648-1477367743
283946-283963	729666	1477380735-1477412801
283964-284013	145243	1477413023-1477422068
284014-284024	118999	1477454409-1477460610
284025-284034	104368	1477472259-1477476188
284035-284035	213037	1477476346-1477484732
