273158-273445	109547	0-1463240323
273446-273493	102743	1463256413-1463401485
273494-273724	104615	1463401719-1463562182
273725-273727	136143	1463711869-1463769251
273728-274158	100041	1463770947-1464388557
274159-274199	133208	1464446626-1464569226
274200-274243	177862	1464569626-1464646821
274244-274250	127077	1464647870-1464690452
274251-274314	103790	1464690652-1464794811
274315-274316	160988	1464795151-1464827568
274317-274335	137071	1464827993-1464880630
274336-274344	147623	1464881101-1464917556
274345-274419	272231	1464917864-1465031982
274420-274439	292938	1465071462-1465135457
274440-274953	181031	1465155190-1465192636
274954-274968	155378	1465638106-1465713263
274969-274969	107712	1465713713-1465736982
274970-274998	175444	1465737176-1465808335
274999-274999	136064	1465808684-1465837605
275000-275058	185914	1465838134-1465889604
275059-275072	178352	1465923011-1465959670
275073-275123	121028	1465961566-1465988900
275124-275281	156045	1466013073-1466043874
275282-275308	113381	1466121974-1466153731
275309-275310	252353	1466171319-1466229724
275311-275336	110515	1466230026-1466279470
275337-275343	110378	1466285163-1466307457
275344-275370	117121	1466324325-1466359803
275371-275375	223586	1466360209-1466419862
275376-275656	269785	1466420102-1466492273
275657-275775	111076	1466739152-1466845438
275776-275831	172241	1466845882-1466883649
275832-275834	122195	1466961482-1466983274
275835-275836	145937	1466983462-1467014046
275837-275885	240519	1467014350-1467088713
275886-275910	176862	1467103237-1467138535
275911-275917	144923	1467165013-1467192243
275918-275962	108224	1467192560-1467220135
275963-276242	290490	1467248594-1467507122
276243-276281	173026	1467507408-1467550228
276282-276282	128859	1467569733-1467594585
276283-276314	113132	1467594861-1467620144
276315-276354	101318	1467631161-1467652259
276355-276383	240367	1467668387-1467726186
276384-276453	315475	1467726433-1467823531
276454-276501	351721	1467828494-1467954950
276502-276526	328238	1467955290-1468052715
276527-276542	134713	1468053280-1468100032
276543-276544	112613	1468100379-1468126543
276545-276582	158505	1468126771-1468182638
276583-276652	170319	1468182867-1468233850
276653-276658	161895	1468282357-1468319749
276659-276775	150119	1468319953-1468385828
276776-276793	159780	1468386148-1468428637
276794-276809	178864	1468429518-1468490917
276810-276811	236158	1468491344-1468558279
